brand,engine_code,displacement,fuel_type,rating,weakness_count,models,year_min,year_max
Alfa Romeo,199B6000,0.9L TwinAir,Benzin,avoid,6,MiTo 955,2013,2018
Alfa Romeo,312A2000,0.9L TwinAir 85,Benzin,avoid,6,MiTo 955,2011,2013
Alfa Romeo,940A3000,1.6L JTDm,Diesel,avoid,6,MiTo 955; Giulietta 940,2009,2020
Alfa Romeo,192A5.000,1.9L JTD 16V,Diesel,neutral,5,147 937; 156 932,1997,2006
Alfa Romeo,198A4000,1.4L T-Jet LPG,LPG,neutral,6,MiTo 955,2013,2016
Alfa Romeo,199A3000,1.3L JTDm 16V,Diesel,neutral,6,MiTo 955,2009,2010
Alfa Romeo,199A8000,1.4L Turbo,Benzin,neutral,6,MiTo 955,2009,2013
Alfa Romeo,199B4000,1.3L JTDm Eco,Diesel,neutral,6,MiTo 955,2011,2016
Alfa Romeo,330A1000,1.3L JTDm 95,Diesel,neutral,6,MiTo 955,2016,2018
Alfa Romeo,350A1000,1.4L 8V FIRE,Benzin,neutral,6,MiTo 955,2013,2018
Alfa Romeo,46346020,1.6L Diesel,Diesel,neutral,6,Tonale 965,2022,2024
Alfa Romeo,46347696,1.5L MHEV,Benzin,neutral,6,Tonale 965,2022,2024
Alfa Romeo,55268597,2.2L MultiJet II,Diesel,neutral,6,Giulia 952; Stelvio 949,2016,2024
Alfa Romeo,55273835,2.0L Turbo,Benzin,neutral,8,Giulia 952; Stelvio 949,2016,2024
Alfa Romeo,670053796,2.9L V6 BiTurbo GTA,Benzin,neutral,6,Giulia 952,2020,2021
Alfa Romeo,841C000,2.4L JTD,Diesel,neutral,6,156 932,2002,2006
Alfa Romeo,841G.000,2.4L JTDM,Diesel,neutral,6,156 932,2003,2006
Alfa Romeo,932A.000,3.2L V6 Busso,Benzin,neutral,10,147 937; 156 932,2002,2006
Alfa Romeo,936A0000,3.2L V6 JTS,Benzin,neutral,7,GT 937C; GTV 916; Spider 916,2003,2010
Alfa Romeo,937A1.000,2.0L JTS,Benzin,neutral,7,156 932; GT 937C; GTV 916; Spider 916,2001,2010
Alfa Romeo,937A2.000,1.9L JTD,Diesel,neutral,6,147 937; 156 932,1997,2010
Alfa Romeo,937A4.000,1.9L JTDM,Diesel,neutral,6,147 937,2004,2010
Alfa Romeo,937A5.000,1.9L JTDM 16V,Diesel,neutral,6,147 937; GT 937C,2003,2010
Alfa Romeo,939A.000,3.2L V6 JTS,Benzin,neutral,5,159 939; Brera 939; Spider 939,2005,2011
Alfa Romeo,939A000,4.7L V8,Benzin,neutral,8,8C 920,2007,2012
